Item1,Item2,Year,Composition ratio,Tool Tips（Composition ratio）
Sports watching,"If you were to come to Japan again in future, what would you like to do?",2017,9.211006342,9.211006342
Sports watching,What did you do during your current stay in Japan?,2017,1.561210616,1.561210616
Sports watching,What you wanted to do during this trip to Japan?,2017,2.120706277,2.120706277
Stage or music performances,"If you were to come to Japan again in future, what would you like to do?",2017,12.190760268,12.190760268
Stage or music performances,What did you do during your current stay in Japan?,2017,4.18101288,4.18101288
Stage or music performances,What you wanted to do during this trip to Japan?,2017,3.895516925,3.895516925
Shopping,"If you were to come to Japan again in future, what would you like to do?",2017,43.206065664,43.206065664
Shopping,What did you do during your current stay in Japan?,2017,85.068868607,85.068868607
Shopping,What you wanted to do during this trip to Japan?,2017,53.395143991,53.395143991
"Galleries, museums, etc.","If you were to come to Japan again in future, what would you like to do?",2017,17.4287244,17.4287244
"Galleries, museums, etc.",What did you do during your current stay in Japan?,2017,20.240735528,20.240735528
"Galleries, museums, etc.",What you wanted to do during this trip to Japan?,2017,12.66678919,12.66678919
Theme parks,"If you were to come to Japan again in future, what would you like to do?",2017,23.366643059,23.366643059
Theme parks,What did you do during your current stay in Japan?,2017,21.06851542,21.06851542
Theme parks,What you wanted to do during this trip to Japan?,2017,16.406065126,16.406065126
Ski/snowboard,"If you were to come to Japan again in future, what would you like to do?",2017,16.059453627,16.059453627
Ski/snowboard,What did you do during your current stay in Japan?,2017,2.990202185,2.990202185
Ski/snowboard,What you wanted to do during this trip to Japan?,2017,4.168116425,4.168116425
Other sports,"If you were to come to Japan again in future, what would you like to do?",2017,7.036655973,7.036655973
Other sports,What did you do during your current stay in Japan?,2017,1.971622506,1.971622506
Other sports,What you wanted to do during this trip to Japan?,2017,1.885597544,1.885597544
"Nature experience tours and farming, mountain, and fishing village experiences","If you were to come to Japan again in future, what would you like to do?",2017,15.590273453,15.590273453
"Nature experience tours and farming, mountain, and fishing village experiences",What did you do during your current stay in Japan?,2017,6.735101459,6.735101459
"Nature experience tours and farming, mountain, and fishing village experiences",What you wanted to do during this trip to Japan?,2017,5.628699006,5.628699006
Seasons,"If you were to come to Japan again in future, what would you like to do?",2017,28.997587516,28.997587516
Seasons,What did you do during your current stay in Japan?,2017,12.889980006,12.889980006
Seasons,What you wanted to do during this trip to Japan?,2017,11.609943805,11.609943805
Visiting film/anime settings,"If you were to come to Japan again in future, what would you like to do?",2017,10.790518271,10.790518271
Visiting film/anime settings,What did you do during your current stay in Japan?,2017,4.898473517,4.898473517
Visiting film/anime settings,What you wanted to do during this trip to Japan?,2017,4.503288142,4.503288142
